epoch,training_loss,validation_loss,training_mse,training_rmse,training_mae,validation_mse,validation_rmse,validation_mae,learning_rate,epoch_seconds
1,0.6777686247458825,0.5284977078437805,0.07100510597229004,0.26646783290350456,0.1909826099872589,0.05350250378251076,0.23130608245895903,0.15655013918876648,0.0005,0.44836926460266113
2,0.6403792164264581,0.49572166204452517,0.07316713780164719,0.270494247261651,0.18136493861675262,0.05322951450943947,0.23071522383544496,0.14805254340171814,0.0005,0.10635161399841309
3,0.6197883685429891,0.47927156686782835,0.07371969521045685,0.271513710906939,0.17616941034793854,0.05401606112718582,0.23241355624658777,0.1431853175163269,0.0005,0.1120917797088623
4,0.610580155482659,0.4694758653640747,0.0752808228135109,0.2743735096788881,0.17344778776168823,0.054336998611688614,0.23310297855602063,0.14067062735557556,0.0005,0.10532379150390625
5,0.6070515895501162,0.465718948841095,0.07602664828300476,0.2757293025469088,0.17267441749572754,0.05475112423300743,0.23398958146252458,0.1394108384847641,0.0005,0.1774914264678955
6,0.6068628399800031,0.464165461063385,0.0769549161195755,0.27740749110212487,0.17234981060028076,0.05472568795084953,0.23393522169790837,0.1394229233264923,0.0005,0.11516427993774414
7,0.6056968157108014,0.4661843776702881,0.07608506828546524,0.27583521944353884,0.17238129675388336,0.0544738695025444,0.2333963785120592,0.13975629210472107,0.0005,0.11533188819885254
8,0.6076794893313677,0.4699057340621948,0.0752749964594841,0.2743628919141291,0.17306777834892273,0.054706837981939316,0.23389492936346293,0.14038455486297607,0.0005,0.10272431373596191
9,0.6070896837955866,0.4681596875190735,0.07568850368261337,0.27511543701256275,0.17258375883102417,0.054453518241643906,0.2333527763744068,0.1402643769979477,0.0005,0.1061851978302002
10,0.6073779165744781,0.46587095260620115,0.07726483792066574,0.27796553369197724,0.17219533026218414,0.05482835695147514,0.23415455782767744,0.13987192511558533,0.0005,0.11121129989624023
11,0.6063614762746371,0.46771410703659055,0.07567202299833298,0.27508548307450353,0.17276835441589355,0.05456018075346947,0.2335812080486559,0.1400919407606125,0.0005,0.10138702392578125
12,0.605965949021853,0.4660054683685303,0.07631978392601013,0.2762603553281037,0.1723889857530594,0.055065762251615524,0.2346609516975833,0.1397453248500824,0.0005,0.10171794891357422
13,0.6059145514781659,0.46562665700912476,0.07657518237829208,0.27672221157379484,0.17228516936302185,0.05479547381401062,0.2340843305606136,0.1396939903497696,0.0005,0.0978548526763916
14,0.6077663417045887,0.46495542526245115,0.07747867703437805,0.27834991833010847,0.1724676638841629,0.05486443266272545,0.23423157913211756,0.13961844146251678,0.0005,0.10526037216186523
15,0.609542979643895,0.4686813950538635,0.07506141066551208,0.2739733758333318,0.1737419068813324,0.05434402450919151,0.23311804844153855,0.1402563601732254,0.00025,0.10271906852722168
16,0.6060003546568064,0.4679880738258362,0.07605177909135818,0.27577487030430853,0.17194288969039917,0.054638274013996124,0.2337483133928374,0.1400117427110672,0.00025,0.10958266258239746
17,0.6046472054261428,0.46658754348754883,0.07590149343013763,0.2755022566697733,0.17195461690425873,0.05468292906880379,0.2338438134071624,0.13998174667358398,0.00025,0.09877324104309082
